path,label,mel_count
common_voice_ru_18919962.npz,ru,144
common_voice_ru_19316600.npz,ru,196
common_voice_ru_23833944.npz,ru,212
common_voice_ru_18917797.npz,ru,208
common_voice_ru_18873577.npz,ru,70
common_voice_ru_22282876.npz,ru,160
common_voice_ru_20838399.npz,ru,194
common_voice_ru_18913297.npz,ru,157
common_voice_ru_18868157.npz,ru,100
common_voice_ru_24001685.npz,ru,176
common_voice_ru_20366423.npz,ru,161
common_voice_ru_21885243.npz,ru,256
common_voice_ru_21748600.npz,ru,118
common_voice_ru_18883684.npz,ru,81
common_voice_ru_20893708.npz,ru,119
common_voice_ru_19730424.npz,ru,295
common_voice_ru_19059805.npz,ru,286
common_voice_ru_21161977.npz,ru,179
common_voice_ru_20253513.npz,ru,134
common_voice_ru_18927907.npz,ru,144
common_voice_ru_18858679.npz,ru,185
common_voice_ru_18912764.npz,ru,76
common_voice_ru_23761574.npz,ru,130
common_voice_ru_23690599.npz,ru,59
common_voice_ru_20893697.npz,ru,142
common_voice_ru_19013893.npz,ru,145
common_voice_ru_18907369.npz,ru,65
common_voice_ru_18947995.npz,ru,255
common_voice_ru_21618802.npz,ru,130
common_voice_ru_21262395.npz,ru,272
common_voice_ru_18929080.npz,ru,269
common_voice_ru_18925862.npz,ru,220
common_voice_ru_19190224.npz,ru,181
common_voice_ru_18904112.npz,ru,141
common_voice_ru_19827390.npz,ru,138
common_voice_ru_18952354.npz,ru,44
common_voice_ru_19348185.npz,ru,100
common_voice_ru_18911279.npz,ru,73
common_voice_ru_18854057.npz,ru,89
common_voice_ru_20440046.npz,ru,148
common_voice_ru_18927913.npz,ru,89
common_voice_ru_19473412.npz,ru,227
common_voice_ru_18913446.npz,ru,213
common_voice_ru_22686788.npz,ru,82
common_voice_ru_18911251.npz,ru,179
common_voice_ru_18940778.npz,ru,89
common_voice_ru_19535335.npz,ru,155
common_voice_ru_18947771.npz,ru,163
common_voice_ru_18948442.npz,ru,189
common_voice_ru_21383143.npz,ru,230
common_voice_ru_19156459.npz,ru,162
common_voice_ru_18981642.npz,ru,156
common_voice_ru_19271738.npz,ru,190
common_voice_ru_22034413.npz,ru,87
common_voice_ru_21931645.npz,ru,51
common_voice_ru_22723320.npz,ru,268
common_voice_ru_19417194.npz,ru,103
common_voice_ru_23976411.npz,ru,239
common_voice_ru_22418468.npz,ru,145
common_voice_ru_18888100.npz,ru,82
common_voice_ru_18947003.npz,ru,99
common_voice_ru_19157035.npz,ru,62
common_voice_ru_18948330.npz,ru,83
common_voice_ru_20362094.npz,ru,55
common_voice_ru_18878581.npz,ru,97
common_voice_ru_21391235.npz,ru,264
common_voice_ru_19952041.npz,ru,68
common_voice_ru_18989587.npz,ru,194
common_voice_ru_21569058.npz,ru,284
common_voice_ru_18932477.npz,ru,84
common_voice_ru_21589812.npz,ru,106
common_voice_ru_18956683.npz,ru,144
common_voice_ru_21336061.npz,ru,261
common_voice_ru_19564185.npz,ru,236
common_voice_ru_20371003.npz,ru,106
common_voice_ru_23877928.npz,ru,61
common_voice_ru_21335568.npz,ru,131
common_voice_ru_21614037.npz,ru,136
common_voice_ru_18964143.npz,ru,151
common_voice_ru_18930512.npz,ru,234
common_voice_ru_19288410.npz,ru,204
common_voice_ru_19013844.npz,ru,238
common_voice_ru_18968779.npz,ru,115
common_voice_ru_22967812.npz,ru,86
common_voice_ru_18881865.npz,ru,142
common_voice_ru_18936605.npz,ru,192
common_voice_ru_22159628.npz,ru,69
common_voice_ru_19071019.npz,ru,230
common_voice_ru_18922880.npz,ru,106
common_voice_ru_18912943.npz,ru,141
common_voice_ru_20190279.npz,ru,226
common_voice_ru_23955579.npz,ru,99
common_voice_ru_19826703.npz,ru,178
common_voice_ru_19542618.npz,ru,91
common_voice_ru_18920729.npz,ru,120
common_voice_ru_20366543.npz,ru,164
common_voice_ru_19349516.npz,ru,169
common_voice_ru_20458190.npz,ru,208
common_voice_ru_21335226.npz,ru,160
common_voice_ru_18912957.npz,ru,159
common_voice_ru_18858692.npz,ru,120
common_voice_ru_20253077.npz,ru,167
common_voice_ru_18928188.npz,ru,94
common_voice_ru_18991109.npz,ru,198
common_voice_ru_20388667.npz,ru,227
common_voice_ru_21587426.npz,ru,233
common_voice_ru_18864382.npz,ru,195
common_voice_ru_21337800.npz,ru,269
common_voice_ru_21601823.npz,ru,206
common_voice_ru_18909634.npz,ru,63
common_voice_ru_18864396.npz,ru,208
common_voice_ru_20241301.npz,ru,160
common_voice_ru_18956456.npz,ru,75
common_voice_ru_19897889.npz,ru,206
common_voice_ru_18976786.npz,ru,104
common_voice_ru_22917852.npz,ru,49
common_voice_ru_23146186.npz,ru,200
common_voice_ru_22306627.npz,ru,164
common_voice_ru_18858321.npz,ru,128
common_voice_ru_19315902.npz,ru,171
common_voice_ru_19578989.npz,ru,150
common_voice_ru_19369407.npz,ru,126
common_voice_ru_18897550.npz,ru,104
common_voice_ru_22299885.npz,ru,47
common_voice_ru_18897236.npz,ru,197
common_voice_ru_18888316.npz,ru,88
common_voice_ru_19336665.npz,ru,170
common_voice_ru_20258678.npz,ru,200
common_voice_ru_18858447.npz,ru,191
common_voice_ru_19237209.npz,ru,226
common_voice_ru_19567117.npz,ru,206
common_voice_ru_18991121.npz,ru,74
common_voice_ru_22928320.npz,ru,107
common_voice_ru_18910359.npz,ru,196
common_voice_ru_18976962.npz,ru,107
common_voice_ru_21901584.npz,ru,105
common_voice_ru_18897544.npz,ru,79
common_voice_ru_18924942.npz,ru,104
common_voice_ru_19792330.npz,ru,240
common_voice_ru_19372755.npz,ru,130
common_voice_ru_18903325.npz,ru,136
common_voice_ru_21397320.npz,ru,107
common_voice_ru_22959254.npz,ru,77
common_voice_ru_19348350.npz,ru,208
common_voice_ru_18977329.npz,ru,149
common_voice_ru_20529543.npz,ru,106
common_voice_ru_23092466.npz,ru,125
common_voice_ru_21568150.npz,ru,209
common_voice_ru_18940591.npz,ru,69
common_voice_ru_18939052.npz,ru,121
common_voice_ru_18887970.npz,ru,120
common_voice_ru_18976745.npz,ru,88
common_voice_ru_22009209.npz,ru,79
common_voice_ru_19030247.npz,ru,111
common_voice_ru_20253088.npz,ru,259
common_voice_ru_19897862.npz,ru,164
common_voice_ru_19019825.npz,ru,186
common_voice_ru_23869928.npz,ru,149
common_voice_ru_18923022.npz,ru,201
common_voice_ru_19593733.npz,ru,196
common_voice_ru_18858484.npz,ru,136
common_voice_ru_21953215.npz,ru,205
common_voice_ru_19838059.npz,ru,155
common_voice_ru_19027075.npz,ru,162
common_voice_ru_18891684.npz,ru,125
common_voice_ru_20636395.npz,ru,170
common_voice_ru_18968235.npz,ru,89
common_voice_ru_18931340.npz,ru,158
common_voice_ru_23787218.npz,ru,37
common_voice_ru_18911084.npz,ru,173
common_voice_ru_23893648.npz,ru,46
common_voice_ru_22708364.npz,ru,194
common_voice_ru_18924759.npz,ru,126
common_voice_ru_18924981.npz,ru,52
common_voice_ru_20827865.npz,ru,110
common_voice_ru_18925320.npz,ru,96
common_voice_ru_21618354.npz,ru,199
common_voice_ru_23712014.npz,ru,190
common_voice_ru_21554694.npz,ru,177
common_voice_ru_20535631.npz,ru,220
common_voice_ru_20426659.npz,ru,238
common_voice_ru_19579499.npz,ru,276
common_voice_ru_19171226.npz,ru,136
common_voice_ru_18937730.npz,ru,215
common_voice_ru_20587929.npz,ru,148
common_voice_ru_21882129.npz,ru,175
common_voice_ru_21262633.npz,ru,302
common_voice_ru_19126430.npz,ru,155
common_voice_ru_18875259.npz,ru,155
common_voice_ru_18965738.npz,ru,100
common_voice_ru_20991240.npz,ru,114
common_voice_ru_18955823.npz,ru,177
common_voice_ru_23672910.npz,ru,106
common_voice_ru_20548816.npz,ru,106
common_voice_ru_18976744.npz,ru,72
common_voice_ru_18966557.npz,ru,215
common_voice_ru_18939053.npz,ru,117
common_voice_ru_22959241.npz,ru,106
common_voice_ru_20436476.npz,ru,91
common_voice_ru_18887965.npz,ru,226
common_voice_ru_18926167.npz,ru,190
common_voice_ru_22933932.npz,ru,155
common_voice_ru_20548802.npz,ru,85
common_voice_ru_19019818.npz,ru,221
common_voice_ru_22746744.npz,ru,124
common_voice_ru_19174404.npz,ru,112
common_voice_ru_18922467.npz,ru,126
common_voice_ru_20957367.npz,ru,145
common_voice_ru_23087718.npz,ru,68
common_voice_ru_19493097.npz,ru,199
common_voice_ru_19183701.npz,ru,119
common_voice_ru_22721734.npz,ru,232
common_voice_ru_23380742.npz,ru,107
common_voice_ru_22070734.npz,ru,38
common_voice_ru_20432837.npz,ru,202
common_voice_ru_19854627.npz,ru,104
common_voice_ru_18897545.npz,ru,72
common_voice_ru_19563402.npz,ru,204
common_voice_ru_19797249.npz,ru,209
common_voice_ru_24001525.npz,ru,217
common_voice_ru_21572690.npz,ru,85
common_voice_ru_18896897.npz,ru,106
common_voice_ru_19369406.npz,ru,221
common_voice_ru_20392164.npz,ru,101
common_voice_ru_19471760.npz,ru,102
common_voice_ru_22775417.npz,ru,264
common_voice_ru_20736343.npz,ru,209
common_voice_ru_18953507.npz,ru,208
common_voice_ru_18915552.npz,ru,205
common_voice_ru_18858320.npz,ru,265
common_voice_ru_23760333.npz,ru,157
common_voice_ru_22925611.npz,ru,129
common_voice_ru_22738271.npz,ru,149
common_voice_ru_20876424.npz,ru,151
common_voice_ru_23878159.npz,ru,214
common_voice_ru_23167607.npz,ru,241
common_voice_ru_19575512.npz,ru,158
common_voice_ru_19563370.npz,ru,185
common_voice_ru_18911052.npz,ru,104
common_voice_ru_18958334.npz,ru,66
common_voice_ru_18897237.npz,ru,146
common_voice_ru_20832266.npz,ru,186
common_voice_ru_19323527.npz,ru,145
common_voice_ru_21306410.npz,ru,119
common_voice_ru_18950740.npz,ru,138
common_voice_ru_21601822.npz,ru,82
common_voice_ru_18956457.npz,ru,158
common_voice_ru_18896667.npz,ru,99
common_voice_ru_22483311.npz,ru,59
common_voice_ru_18914664.npz,ru,152
common_voice_ru_23174653.npz,ru,106
common_voice_ru_22932437.npz,ru,143
common_voice_ru_18912201.npz,ru,246
common_voice_ru_18919354.npz,ru,224
common_voice_ru_18940221.npz,ru,114
common_voice_ru_18921813.npz,ru,94
common_voice_ru_18956443.npz,ru,105
common_voice_ru_19787072.npz,ru,179
common_voice_ru_18919432.npz,ru,211
common_voice_ru_18849577.npz,ru,69
common_voice_ru_22173567.npz,ru,197
common_voice_ru_19576027.npz,ru,195
common_voice_ru_18934749.npz,ru,196
common_voice_ru_18923235.npz,ru,127
common_voice_ru_23690573.npz,ru,98
common_voice_ru_19308239.npz,ru,165
common_voice_ru_18921422.npz,ru,93
common_voice_ru_18956872.npz,ru,98
common_voice_ru_19451665.npz,ru,168
common_voice_ru_18891493.npz,ru,242
common_voice_ru_21935387.npz,ru,171
common_voice_ru_20792620.npz,ru,135
common_voice_ru_22758988.npz,ru,197
common_voice_ru_19764672.npz,ru,193
common_voice_ru_22214961.npz,ru,136
common_voice_ru_22715122.npz,ru,256
common_voice_ru_20458185.npz,ru,206
common_voice_ru_18907397.npz,ru,197
common_voice_ru_19616596.npz,ru,223
common_voice_ru_20370320.npz,ru,74
common_voice_ru_20893669.npz,ru,76
common_voice_ru_18934985.npz,ru,79
common_voice_ru_18947943.npz,ru,148
common_voice_ru_18915963.npz,ru,117
common_voice_ru_20026690.npz,ru,142
common_voice_ru_18867339.npz,ru,205
common_voice_ru_19335184.npz,ru,193
common_voice_ru_22725977.npz,ru,128
common_voice_ru_21802265.npz,ru,77
common_voice_ru_22967813.npz,ru,181
common_voice_ru_19950864.npz,ru,212
common_voice_ru_18930261.npz,ru,155
common_voice_ru_20149257.npz,ru,255
common_voice_ru_18922665.npz,ru,206
common_voice_ru_20221621.npz,ru,132
common_voice_ru_18924572.npz,ru,100
common_voice_ru_18879113.npz,ru,129
common_voice_ru_21567712.npz,ru,109
common_voice_ru_23688314.npz,ru,213
common_voice_ru_20365077.npz,ru,181
common_voice_ru_22318815.npz,ru,188
common_voice_ru_20106226.npz,ru,256
common_voice_ru_19013851.npz,ru,198
common_voice_ru_23167377.npz,ru,85
common_voice_ru_19111707.npz,ru,218
common_voice_ru_20716285.npz,ru,122
common_voice_ru_19644207.npz,ru,121
common_voice_ru_18955406.npz,ru,89
common_voice_ru_22124615.npz,ru,126
common_voice_ru_21662639.npz,ru,212
common_voice_ru_20772071.npz,ru,179
common_voice_ru_22725750.npz,ru,171
common_voice_ru_18891450.npz,ru,69
common_voice_ru_18917635.npz,ru,109
common_voice_ru_18921393.npz,ru,257
common_voice_ru_20088386.npz,ru,162
common_voice_ru_20370485.npz,ru,144
common_voice_ru_19318943.npz,ru,235
common_voice_ru_23008968.npz,ru,159
common_voice_ru_22364289.npz,ru,133
common_voice_ru_18915036.npz,ru,184
common_voice_ru_18934946.npz,ru,217
common_voice_ru_18905543.npz,ru,129
common_voice_ru_21358746.npz,ru,106
common_voice_ru_21572486.npz,ru,196
common_voice_ru_21616812.npz,ru,172
common_voice_ru_18902204.npz,ru,197
common_voice_ru_21251986.npz,ru,128
common_voice_ru_19283587.npz,ru,170
common_voice_ru_18968963.npz,ru,170
common_voice_ru_20440047.npz,ru,147
common_voice_ru_18911278.npz,ru,211
common_voice_ru_21643807.npz,ru,269
common_voice_ru_22493472.npz,ru,115
common_voice_ru_18918248.npz,ru,84
common_voice_ru_19565259.npz,ru,147
common_voice_ru_18956899.npz,ru,160
common_voice_ru_18980561.npz,ru,142
common_voice_ru_19283593.npz,ru,223
common_voice_ru_18963822.npz,ru,80
common_voice_ru_23869493.npz,ru,88
common_voice_ru_18974219.npz,ru,123
common_voice_ru_18913282.npz,ru,249
common_voice_ru_20339126.npz,ru,256
common_voice_ru_21949648.npz,ru,76
common_voice_ru_23087320.npz,ru,83
common_voice_ru_19854592.npz,ru,145
common_voice_ru_20376631.npz,ru,191
common_voice_ru_20467573.npz,ru,166
common_voice_ru_22119345.npz,ru,137
common_voice_ru_20368369.npz,ru,81
common_voice_ru_19027316.npz,ru,79
common_voice_ru_18925056.npz,ru,109
common_voice_ru_18868624.npz,ru,118
common_voice_ru_19729606.npz,ru,178
common_voice_ru_20838398.npz,ru,255
common_voice_ru_22730598.npz,ru,95
common_voice_ru_18931037.npz,ru,99
common_voice_ru_19370584.npz,ru,164
common_voice_ru_19316601.npz,ru,57
common_voice_ru_18956912.npz,ru,186
common_voice_ru_18910947.npz,ru,151
common_voice_ru_21888772.npz,ru,148
common_voice_ru_21618750.npz,ru,158
common_voice_ru_18911481.npz,ru,79
common_voice_ru_19826676.npz,ru,172
common_voice_ru_18903085.npz,ru,160
common_voice_ru_20584830.npz,ru,223
common_voice_ru_20185729.npz,ru,115
common_voice_ru_18930467.npz,ru,227
common_voice_ru_18920674.npz,ru,130
common_voice_ru_21887469.npz,ru,121
common_voice_ru_20801257.npz,ru,92
common_voice_ru_21925962.npz,ru,46
common_voice_ru_18915817.npz,ru,140
common_voice_ru_19010586.npz,ru,192
common_voice_ru_19574591.npz,ru,149
common_voice_ru_19116685.npz,ru,184
common_voice_ru_19349339.npz,ru,151
common_voice_ru_18918499.npz,ru,116
common_voice_ru_23009525.npz,ru,89
common_voice_ru_22403868.npz,ru,58
common_voice_ru_18932264.npz,ru,215
common_voice_ru_20962914.npz,ru,205
common_voice_ru_20546581.npz,ru,190
common_voice_ru_23708474.npz,ru,162
common_voice_ru_22923857.npz,ru,55
common_voice_ru_21825037.npz,ru,140
common_voice_ru_19013716.npz,ru,209
common_voice_ru_23395039.npz,ru,163
common_voice_ru_21313431.npz,ru,96
common_voice_ru_18885551.npz,ru,113
common_voice_ru_18929877.npz,ru,149
common_voice_ru_20545705.npz,ru,160
common_voice_ru_19581097.npz,ru,235
common_voice_ru_18940619.npz,ru,125
common_voice_ru_18918466.npz,ru,119
common_voice_ru_18891530.npz,ru,111
common_voice_ru_18888061.npz,ru,158
common_voice_ru_18919778.npz,ru,163
common_voice_ru_20059865.npz,ru,279
common_voice_ru_19001460.npz,ru,186
common_voice_ru_21510411.npz,ru,254
common_voice_ru_19111667.npz,ru,256
common_voice_ru_19854545.npz,ru,171
common_voice_ru_21888969.npz,ru,186
common_voice_ru_21883814.npz,ru,264
common_voice_ru_18875852.npz,ru,166
common_voice_ru_19130859.npz,ru,121
common_voice_ru_20743482.npz,ru,252
common_voice_ru_18863956.npz,ru,160
common_voice_ru_18927866.npz,ru,84
common_voice_ru_18916463.npz,ru,265
common_voice_ru_18980367.npz,ru,88
common_voice_ru_18912605.npz,ru,135
common_voice_ru_21445362.npz,ru,170
common_voice_ru_23406422.npz,ru,126
common_voice_ru_18853881.npz,ru,140
common_voice_ru_19146065.npz,ru,136
common_voice_ru_18873589.npz,ru,190
common_voice_ru_18919022.npz,ru,90
common_voice_ru_21613822.npz,ru,139
common_voice_ru_21445410.npz,ru,182
common_voice_ru_20412661.npz,ru,120
common_voice_ru_18915618.npz,ru,150
common_voice_ru_18925254.npz,ru,89
common_voice_ru_23902024.npz,ru,36
common_voice_ru_21901354.npz,ru,107
common_voice_ru_18948084.npz,ru,239
common_voice_ru_18958297.npz,ru,122
common_voice_ru_18896934.npz,ru,77
common_voice_ru_18911697.npz,ru,115
common_voice_ru_20984705.npz,ru,130
common_voice_ru_19426943.npz,ru,186
common_voice_ru_18877260.npz,ru,151
common_voice_ru_19122078.npz,ru,195
common_voice_ru_18868340.npz,ru,99
common_voice_ru_19792292.npz,ru,242
common_voice_ru_18927331.npz,ru,186
common_voice_ru_18926991.npz,ru,218
common_voice_ru_18948090.npz,ru,91
common_voice_ru_19536588.npz,ru,216
common_voice_ru_18930103.npz,ru,166
common_voice_ru_19421976.npz,ru,164
common_voice_ru_20470231.npz,ru,140
common_voice_ru_22460883.npz,ru,96
common_voice_ru_19145961.npz,ru,197
common_voice_ru_19827024.npz,ru,190
common_voice_ru_20077971.npz,ru,132
common_voice_ru_18964234.npz,ru,220
common_voice_ru_20893537.npz,ru,168
common_voice_ru_19164011.npz,ru,151
common_voice_ru_18940382.npz,ru,148
common_voice_ru_18896908.npz,ru,134
common_voice_ru_19283626.npz,ru,223
common_voice_ru_18933378.npz,ru,81
common_voice_ru_20434301.npz,ru,154
common_voice_ru_18879265.npz,ru,99
common_voice_ru_22414870.npz,ru,57
common_voice_ru_18875339.npz,ru,165
common_voice_ru_22012990.npz,ru,96
common_voice_ru_18936566.npz,ru,136
common_voice_ru_23553806.npz,ru,184
common_voice_ru_22460897.npz,ru,241
common_voice_ru_18897357.npz,ru,82
common_voice_ru_20832306.npz,ru,109
common_voice_ru_23683862.npz,ru,85
common_voice_ru_19336704.npz,ru,235
common_voice_ru_20361832.npz,ru,141
common_voice_ru_21383546.npz,ru,129
common_voice_ru_18903536.npz,ru,162
common_voice_ru_20602192.npz,ru,258
common_voice_ru_22739769.npz,ru,92
common_voice_ru_21322388.npz,ru,200
common_voice_ru_18921797.npz,ru,250
common_voice_ru_20370095.npz,ru,209
common_voice_ru_19575300.npz,ru,103
common_voice_ru_19478156.npz,ru,216
common_voice_ru_19792251.npz,ru,205
common_voice_ru_18858254.npz,ru,183
common_voice_ru_20876236.npz,ru,180
common_voice_ru_18903244.npz,ru,59
common_voice_ru_18955764.npz,ru,145
common_voice_ru_18905153.npz,ru,179
common_voice_ru_19593685.npz,ru,138
common_voice_ru_21107826.npz,ru,191
common_voice_ru_20580129.npz,ru,76
common_voice_ru_18862862.npz,ru,160
common_voice_ru_18910238.npz,ru,104
common_voice_ru_19336710.npz,ru,170
common_voice_ru_18904265.npz,ru,70
common_voice_ru_18878812.npz,ru,249
common_voice_ru_18928957.npz,ru,204
common_voice_ru_21478587.npz,ru,100
common_voice_ru_18940427.npz,ru,150
common_voice_ru_19100540.npz,ru,136
common_voice_ru_18940341.npz,ru,186
common_voice_ru_19112144.npz,ru,224
common_voice_ru_18912361.npz,ru,173
common_voice_ru_20827737.npz,ru,201
common_voice_ru_19019777.npz,ru,160
common_voice_ru_22404478.npz,ru,209
common_voice_ru_22498137.npz,ru,85
common_voice_ru_20535976.npz,ru,218
common_voice_ru_18956537.npz,ru,119
common_voice_ru_21786187.npz,ru,119
common_voice_ru_21418267.npz,ru,175
common_voice_ru_18882014.npz,ru,107
common_voice_ru_18912413.npz,ru,85
common_voice_ru_18912363.npz,ru,55
common_voice_ru_18902170.npz,ru,95
common_voice_ru_18919236.npz,ru,196
common_voice_ru_19957516.npz,ru,156
common_voice_ru_20646088.npz,ru,183
common_voice_ru_18886502.npz,ru,94
common_voice_ru_18918128.npz,ru,60
common_voice_ru_19798756.npz,ru,190
common_voice_ru_23167759.npz,ru,161
common_voice_ru_18862848.npz,ru,74
common_voice_ru_18888249.npz,ru,172
common_voice_ru_23994905.npz,ru,137
common_voice_ru_18904267.npz,ru,177
common_voice_ru_22304621.npz,ru,164
common_voice_ru_22396343.npz,ru,100
common_voice_ru_18955982.npz,ru,120
common_voice_ru_23871751.npz,ru,48
common_voice_ru_20986845.npz,ru,304
common_voice_ru_20708481.npz,ru,181
common_voice_ru_22396357.npz,ru,59
common_voice_ru_18914060.npz,ru,272
common_voice_ru_18928799.npz,ru,137
common_voice_ru_22958798.npz,ru,59
common_voice_ru_22460856.npz,ru,145
common_voice_ru_18928941.npz,ru,81
common_voice_ru_18916677.npz,ru,231
common_voice_ru_18916111.npz,ru,91
common_voice_ru_19921494.npz,ru,271
common_voice_ru_18919222.npz,ru,164
common_voice_ru_20441777.npz,ru,125
common_voice_ru_22117815.npz,ru,76
common_voice_ru_20827709.npz,ru,238
common_voice_ru_18926944.npz,ru,220
common_voice_ru_19043447.npz,ru,149
common_voice_ru_21383550.npz,ru,192
common_voice_ru_21419147.npz,ru,294
common_voice_ru_23407500.npz,ru,151
common_voice_ru_18919578.npz,ru,91
common_voice_ru_23566840.npz,ru,101
common_voice_ru_20390163.npz,ru,181
common_voice_ru_21425866.npz,ru,80
common_voice_ru_22402751.npz,ru,325
common_voice_ru_21335184.npz,ru,81
common_voice_ru_19537131.npz,ru,104
common_voice_ru_18913055.npz,ru,263
common_voice_ru_19019749.npz,ru,164
common_voice_ru_18889619.npz,ru,129
common_voice_ru_21306228.npz,ru,207
common_voice_ru_18948904.npz,ru,136
common_voice_ru_23862922.npz,ru,167
common_voice_ru_20426713.npz,ru,141
common_voice_ru_21714430.npz,ru,166
common_voice_ru_20358928.npz,ru,151
common_voice_ru_19512372.npz,ru,192
common_voice_ru_20893535.npz,ru,170
common_voice_ru_19314558.npz,ru,217
